zip_code;label
21450;ampilly les bordes
69550;amplepuis
69550;amplepuis
62760;amplier
77760;amponville
20272;ampriani
69420;ampuis
83111;ampus
79210;amure
60310;amy
16560;anais
17540;anais
31230;anan
98752;anapoto
98750;anatonu
98730;anau
64570;ance feas
64570;ance feas
76710;anceaumeville
5260;ancelle
55320;ancemont
44150;ancenis st gereon
44150;ancenis st gereon
57580;ancerville
55170;ancerville
54450;ancerviller
21410;ancey
8500;anchamps
37500;anche
86700;anche
70210;anchenoncourt et chazel
2600;ancienville
70100;ancier
72610;ancinnes
65440;ancizan
26200;ancone
76370;ancourt
76560;ancourteville sur hericourt
76760;ancretieville st victor
76540;ancretteville sur mer
50400;anctoville sur boscq
69490;ancy
57130;ancy dornot
57130;ancy dornot
89160;ancy le franc
89160;ancy le franc
89160;ancy le libre
80140;andainville
7340;andance
26140;andancette
26140;andancette
27430;ande
80700;andechy
22400;andel
2800;andelain
3120;andelaroche
70000;andelarre
70000;andelarrot
15100;andelat
90400;andelnans
90400;andelnans
52700;andelot blancheville
52700;andelot blancheville
39110;andelot en montagne
39320;andelot morval
39320;andelot morval
78770;andelu
55800;andernay
33510;andernos les bains
54560;anderny
1300;andert et condon
60570;andeville
81140;andillac
74350;andilly
74350;andilly
17230;andilly
17230;andilly
54200;andilly
95580;andilly
52360;andilly en bassigny
47170;andiran
67140;andlau
64420;andoins
68280;andolsheim
6750;andon
6750;andon
45480;andonville
70200;andornay
53240;andouille
35250;andouille neuville
81350;andouque
64390;andrein
62340;andres
65390;andrest
78570;andresy
78570;andresy
77390;andrezel
42160;andrezieux boutheon
89480;andryes
30140;anduze
65150;aneres
28260;anet
64510;angais
98755;angakauitai
41400;ange
16130;angeac champagne
16120;angeac charente
8450;angecourt
16300;angeduc
89440;angely
90150;angeot
49100;angers
49000;angers
14430;angerville
91670;angerville
91670;angerville
76110;angerville bailleul
76280;angerville l orcher
27930;angerville la campagne
76540;angerville la martel
91470;angervilliers
82210;angeville
57440;angevillers
60940;angicourt
76740;angiens
